sampling,plot,code_old,code,abundance,nind_m2,OBS
17,12,poaceae,poaceae,15,45,
17,14,gedi,gedi,5,15,
17,16,mear,mear,1,3,
16,5,poaceae,poaceae,18,53,
15,3,trfr,trfr,7,20,
13,10,tosp,tosp,5,14,
13,8,rapa,rapa,9,25,
14,15,shar,shar,9,25,
13,2,shar,shar,8,22,
13,3,shar,shar,12,33,
14,13,poaceae,poaceae,8,22,
15,2,visa,visa,4,11,
15,4,shar,shar,4,11,
14,1,tosp,tosp,10,27,
13,2,cegl,cegl,3,8,
13,7,shar,shar,3,8,
14,4,cegl,cegl,6,16,
14,5,rapa,rapa,15,40,
14,5,shar,shar,3,8,
14,10,poaceae,poaceae,15,40,
14,14,gedi,gedi,3,8,
15,7,tosp,tosp,3,8,
16,4,apar,apar,3,8,
16,7,shar,shar,3,8,
17,3,sevu,asteraceae,3,8,
17,4,shar,shar,3,8,
17,6,gemo,gemo,3,8,
17,7,visa,visa,3,8,
17,14,libi,libi,3,8,
14,15,rapa,rapa,10,26,
15,15,rapa,rapa,5,13,
16,3,trfr,trfr,7,18,
17,15,coar,coar,7,18,
15,15,cegl,cegl,9,23,
13,5,shar,shar,4,10,
14,3,shar,shar,4,10,
14,10,cegl,cegl,2,5,
14,14,visa,visa,4,10,
15,1,mydi,mydi,4,10,
15,11,rapa,rapa,4,10,
